start time 0:hr:min:sec	end time 0:hr:min:sec	Annotations	Layer	Index
2998.43379	2998.43379	This is not exactly a song. It's a chant for the men lining. You know a railroad rail weighs 900 pounds and the men have to take these lining bars and get it in shape to spike it down. And while they're doing that why they have a chant that, uh, and also some songs that they be used to, the rhythm to work it into place and then the boss hollers 'Bring 'em a hammer gang' and they start to spike it down. And this is a chant for lining the rail.	Transcription	Zora Neale Hurston
3028.728014	3028.728014	ZNH chants 'Let's Shake It'	Notes	Zora Neale Hurston
3050.949566	3050.949566	I'd like you to do that again. But this time, when they have . . . What do they call the irons they use?	Transcription	Herbert Halpert
3055.636924	3055.636924	They call it a lining bar.	Transcription	Zora Neale Hurston
3056.852165	3056.852165	Alright. The lining bar. When they work but don't you hear the clink of it?	Transcription	Herbert Halpert
3061.71313	3061.71313	It's a 'hah'! Now you don't hear the lining bar because it's under the rail and they shove the rail with it.	Transcription	Zora Neale Hurston
3067.962941	3067.962941	They hit against it?	Transcription	Herbert Halpert
3068.483759	3068.483759	No, it's under it. You see, it's just like on this. It's a crow bar.	Transcription	Zora Neale Hurston
3072.737102	3072.737102	Because over in Mississippi, they showed me by hitting the thing. They said that the way that they did it was by several men taking a short hit.	Transcription	Herbert Halpert
3081.460797	3081.460797	Well, I've seen them put it between their legs this way and put it back and they get this, this splange under the rail, and then they 'heh, heh'. You know, like that.	Transcription	Zora Neale Hurston
3090.455752	3090.455752	Well, now what do they do? Are they pulling it, pulling it --	Transcription	Herbert Halpert
3092.669226	3092.669226	Pulling it backwards, they're moving it backwards.	Transcription	Zora Neale Hurston
3093.97127	3093.97127	In other words, they have it underneath and they're using the lever to go forward.	Transcription	Herbert Halpert
3097.562742	3097.562742	That's right. Yes.	Transcription	Zora Neale Hurston
3099.211998	3099.211998	Alright.	Transcription	Herbert Halpert
3100.101728	3100.101728	And all the men, you know because it's always straining and they 'heh'.	Transcription	Zora Neale Hurston
3102.619013	3102.619013	About how many are there on a bar?	Transcription	Herbert Halpert
3103.921057	3103.921057	Oh, some time it's about 7 or 8 on at one time.	Transcription	Herbert Halpert
3108.716919	3108.716919	Hmhm. Well, I suppose you try it and you sing it over again.	Transcription	Herbert Halpert
3112	3112	Alright	Transcription	Zora Neale Hurston
3113	3113	Or chant it.	Transcription	Herbert Halpert
3116.963198	3116.963198	ZNH chants 'Let's Shake It'	Notes	Zora Neale Hurston
3142.960181	3142.960181	I got 'That Old Black Gal' is a spiking song that I got down there in Miami and was song by Max Ford the singing liner on this construction crew.	Transcription	Zora Neale Hurston
3153.084082	3153.084082	What's it used for?	Transcription	Herbert Halpert
3154.291519	3154.291519	Used for spiking down the rails.	Transcription	Zora Neale Hurston
3157.820952	3157.820952	ZNH chants 'That Old Black Gal'	Notes	Zora Neale Hurston
3227.202177	3227.202177	3136 A	Notes	Library of Congress
3230.73161	3230.73161	This song they called 'Shove it Over' and it's the lining rhythm pretty generally distributed all over Florida. It was sung to me by Charlie Jones on a railroad construction camp in Lakeland, Florida.	Transcription	Zora Neale Hurston
3243.734785	3243.734785	About how long ago?	Transcription	Herbert Halpert
3245.081542	3245.081542	Uh, I gathered that in '33, 1933.	Transcription	Zora Neale Hurston
3251.30449	3251.30449	ZNH sings 'Shove it over'	Notes	Zora Neale Hurston
3360.391837	3360.391837	This is again for lining?	Transcription	Herbert Halpert
3362.063673	3362.992472	This is a lining rhythm.	Transcription	Zora Neale Hurston
3362.992472	3365.546667	Now where is the movement?	Transcription	Herbert Halpert
3365.500227	3371.351655	When they say Shacka-lacka-lacka like they are getting ready to pull back and when they say 'heh' they shove the rail over.	Transcription	Zora Neale Hurston
3371.351655	3375.113288	In other words, this song gives them quite a lot of rest in between.	Transcription	Herbert Halpert
3375.066848	3376.599365	Right a lot of rest in between.	Transcription	Zora Neale Hurston
3376.552925	3377.342404	And a harder shove?	Transcription	Herbert Halpert
3377.295964	3380.128798	And a harder shove at the end. And they say 'heh', they all go.	Transcription	Zora Neale Hurston
3380.175238	3385.562268	It seems to have had a different effect from the other lining one you gave, I mean that one about Mobile.	Transcription	Herbert Halpert
3385.469388	3395.639728	Yes, but someone was short and someone only just come to the mood of the liner. And the men work whatever song he sung, they work that rhythm.	Transcription	Zora Neale Hurston
3395.686168	3438.503764	Uh, now when the men are lining, they put the rail down, and then of course the captain, he's crouched straddle of it and uh, looks down it so he can tell when it's lined up in exact line with the others. And if they carry it, well he'll say shove it over and if they carry it too far, he'll say send it back and when they get it exactly in line, he'll tell em 'join it ahead' but then they corrupted that to 'join ahead' and all of them say 'join ahead' for 'join it ahead'. And, uh, so, uh, this song is about a lining and the rhythm goes with, they put this lining bar, this long steel bar, crow bar, between their legs so they have greater purchase and pull back on it.	Transcription	Zora Neale Hurston
3438.503764	3441.615238	Well, wait a minute. They pull back . . . and how are they facing in relation to the rail.	Transcription	Herbert Halpert
3441.568798	3444.448073	Their back is to the rail.	Transcription	Zora Neale Hurston
3444.448073	3447.327347	In other words, they're pulling up on the bar.	Transcription	Herbert Halpert
3447.327347	3452.110658	They're pulling up on the bar. They don't have to look at the rail because that's the captain's job to see when it's right.	Transcription	Zora Neale Hurston
3452.157098	3455.640091	Well, what do they do? Do they, how do they get it under the bar, the rail?	Transcription	Herbert Halpert
3455.686531	3460.376961	They just push the flange of this lining bar under the rail and then pull back on it.	Transcription	Zora Neale Hurston
3460.330522	3462.977596	Do they have to look back at it or do they just feel it?	Transcription	Herbert Halpert
3462.931156	3469.757823	Oh, they can just feel it. Sometimes they look back, you know, but most of them, they just can feel it and they send it back on there.	Transcription	Zora Neale Hurston
3469.711383	3479.974603	Well, uh, you were saying, you were explaining that there's different rhythms that they have. Are there any particular times when a faster on or a slower one would be used?	Transcription	Herbert Halpert
3479.928163	3507.513469	Well, it's different; it's not any particular time except just the feeling of the singing liner. Whatever song he starts. If it's a fast rhythm they work fast; if its's a slow one, well they work, you know, a little slower but they get just as much work done, it seems, somehow or another.	Transcription	Zora Neale Hurston
3497.853968	3502.12644	3136 B	Notes	Library of Congress
3507.513469	3510.346304	ZNH singing low.	Transcription	Zora Neale Hurston
3510.392744	3511.321542	Alright.	Transcription	Herbert Halpert
3511.321542	3530.176145	Alright, this song I'm going to sing is a lining rhythm and I'm going to call it Mule on the Mount though you can start with any verse you want and give it a name and it's the most widely distributed work song in the United States and it has innumerable verses and whatnot about everything under the sun and it's a lining rhythm though they sometimes sing it just [cut off].	Transcription	Zora Neale Hurston
