38.119835	43.272211	Well, I heard the first verses, I got it in my native village of Eatonville, Florida from George Thomas.	Transcription	Zora Neale Hurston
45.829029	47.572314	And this is one version you're going to sing?	Transcription	Herbert Halpert
47.649793	52.76343	I'm going to sing, oh I guess, all the tune is the same. I'm going to sing verses from a whole lots of places.	Transcription	Zora Neale Hurston
52.76343	53.267045	Alright.	Transcription	Herbert Halpert
56.404959	218.491736	Zora Neale Hurston sings 'Mule on the Mount'	Notes	Zora Neale Hurston
218.570509	226.239669	When you hear that sung, or nearly sung, about how many verses does a man know? He doesn't know as many as you do.	Transcription	Herbert Halpert
226.239669	229.145145	Yes, sometimes they sing 30 and 40 verses.	Transcription	Zora Neale Hurston
229.300103	230.772211	Is one of these continuous?	Transcription	Herbert Halpert
230.772211	235.266012	It's one of these things that's grown by incremental repetition until perhaps it's the longest song in America.	Transcription	Zora Neale Hurston
236.893079	236.893079	[inaudible]	Transcription	Herbert Halpert
238.287707	238.287707	Zora Neale Hurston laughs [distortion]	Transcription	Zora Neale Hurston
242.317266	242.317266	3137 A1 and 2	Notes	Library of Congress
247.159091	248.360021	What's your name, please?	Transcription	Herbert Halpert
248.360021	249.677169	Beatrice Lange.	Transcription	Beatrice Lange
250.258264	251.420455	Where do you come from?	Transcription	Herbert Halpert
252.272727	254.713326	I came from South Georgia.	Transcription	Beatrice Lange
255.333161	256.61157	Where? What part of South Georgia?	Transcription	Herbert Halpert
256.68905	257.425103	Woodbine.	Transcription	Beatrice Lange
257.85124	258.897211	And how old are you?	Transcription	Herbert Halpert
259.207128	259.943182	35	Transcription	Beatrice Lange
260.21436	262.383781	And what are you going to tell us or?	Transcription	Herbert Halpert
262.383781	266.761364	Well, I'm going to tell some folk stories that my brother-in-law told me.	Transcription	Beatrice Lange
267.536157	268.233471	How long ago?	Transcription	Herbert Halpert
268.620868	270.247934	About a year ago.	Transcription	Beatrice Lange
270.015496	271.448864	A short, a short while back.	Transcription	Herbert Halpert
271.410124	274.625517	Well, it happened longer than that but he told me about a year ago.	Transcription	Beatrice Lange
274.780475	277.376033	I mean, how did it, it happened long ago . . . what do you mean by that?	Transcription	Herbert Halpert
277.376033	280.475207	I mean that the story happened longer than that.	Transcription	Beatrice Lange
280.475207	282.141012	Well, how did it go? I mean how did it --	Transcription	Herbert Halpert
282.141012	286.867252	Well, this old negro of his told him about it. The negro belonged to his father.	Transcription	Beatrice Lange
287.332128	287.874483	Uh-huh	Transcription	Herbert Halpert
287.874483	289.114153	Who had a rice plantation.	Transcription	Beatrice Lange
290.121384	293.143079	The negro told it to him when? I mean did he ever tell you that?	Transcription	Herbert Halpert
293.143079	296.203512	About six months to a year ago.	Transcription	Beatrice Lange
296.784607	298.954029	I mean the negro had just told him the story?	Transcription	Herbert Halpert
298.566632	300.929752	Yes, while he was working with him.	Transcription	Beatrice Lange
300.929752	306.895661	I see. And you don't have any name for it? Is that right?	Transcription	Herbert Halpert
307.05062	310.653409	Well, uh, it's a storm story, a hurricane story.	Transcription	Beatrice Lange
311.079545	312.629132	Just, okay, [laughing] go ahead .	Transcription	Herbert Halpert
312.629132	315.689566	I have several stories though. This is just one.	Transcription	Beatrice Lange
315.689566	318.440083	Well, let's start off with just one. That's the easiest way.	Transcription	Herbert Halpert
318.440083	319.098657	Alright, sir.	Transcription	Beatrice Lange
319.098657	322.120351	Alright. Well, can you tell it or are you going to tell it or read it?	Transcription	Herbert Halpert
322.31405	323.786157	Well I can kind of glance at it.	Transcription	Beatrice Lange
324.251033	325.878099	Alright. Go ahead.	Transcription	Herbert Halpert
326.652893	333.626033	Uh, this story happened during the fall of 1898 upon a small island off of the coast of Georgia	Transcription	Beatrice Lange
334.207128	343.155992	Where the sea level was very low. Came a hurricane which covered the whole island in several feet of water and most of the natives had to swim around in their homes.	Transcription	Beatrice Lange
343.543388	350.40031	One particular instance which calls to mind is that of an old negrum owned by one of the early rice planters.	Transcription	Beatrice Lange
351.252583	362.332128	He tells: Yes sir, we were swimming around in that water trying to find a shallow place when we seen some of them pretty long neck bottles floating around. Look like them water in 'em.	Transcription	Beatrice Lange
362.874483	376.510847	So we drink some and before long we was glad to have some been come because it sure made us feel good. Sure wish I could have some of that stuff now. Boss, I believe that been shampoo.	Transcription	Beatrice Lange
377.556818	382.166839	Further on the flooded plantation, the boss paddled his canoe up to the loft of the barn.	Transcription	Beatrice Lange
382.554236	401.497934	There sat another of his n-- with a big stick in his hand as if he was going to strike something. Even that the hole in the side of the barn where the [inaudible] was stored had looked as if a board had been torn off. He glanced over in the corner and there'n a pile of dead coons which looked like a hundred or so.	Transcription	Beatrice Lange
401.497934	433.57438	As the boss approached, he said, 'By grade, Tom, what have you been doing here?' He replied in a dramatic voice, 'Boss, I's just been praying all the time, how's that good for the ole master to come take this water back where it belong so we's could get back to work. Boss, I've been a praying every chance that I'm got to liberation.' 'Well, from the looks of the coons you killed, you didn't have time to pray much, Tom'. 'Mass Donald,  I wouldn't have killed 'em but they kept barring me from praying all the time.'	Transcription	Beatrice Lange
433.57438	446.126033	Another story I told of an old native of Georgia came to Florida in the nineties to seek adventure. This old cracker who really lived in the backwoods had a name of being the biggest liar in the country.	Transcription	Beatrice Lange
446.43595	452.634298	Now look, suppose you don't read it from there and you just tell me it as a story. Go ahead. You can do it.	Transcription	Herbert Halpert
451.007231	452.169421	Just let me glance at it.	Transcription	Beatrice Lange
452.169421	452.866736	Alright. Go ahead.	Transcription	Herbert Halpert
452.866736	453.951446	[Laughter]	Transcription	Beatrice Lange
455.113636	455.733471	Go ahead.	Transcription	Herbert Halpert
456.198347	467.58781	He said me and my son Israel, we went down to Floridy to pick oranges. Huh. They grow so big you can fill a water bucket full with four of 'em.	Transcription	Beatrice Lange
468.285124	484.478306	The alligators, they were so tame, and I bet we had about a hundred and fifty, every day we went down to the palmetto patch and whistled and they would come running under the palmetto patch at me and crawl up on my shoulders and talk to me.	Transcription	Beatrice Lange
486.105372	496.177686	Why down there we cut down the palmetto trees to make fence posts and they is the best you ever seen. They would last a hundred years. I know because I tried them twice.	Transcription	Beatrice Lange
501.775678	505.010331	3137 B1 and 2	Notes	Library of Congress
505.036677	625.442772	Surely, but I have to give all that other data.  My name is Zora Neale Hurston and I'm going to sing a gambling song that I collected at Boston Florida. Turpentine is still there. And the men are playing a game called Georgia Skin. That's the most favorite gambling scheme among the workers of the South. And they lose money on the drop of a card, the fall of a card. And there's a rhythm to the fall of the card and after they get set with the two principles and the other people are called pikers and anybody that wants a special card, he pick it out and they call that, uh, picking one in the rough.	Transcription	Zora Neale Hurston
550.645661	556.766529	I think it's better if you explain just how the cards, which way the cards get out or how people are standing there before you go on.	Transcription	Herbert Halpert
557.153926	557.153926	Well, you see, they take a deck of cards and they shuffle it real good and watch the man to be sure he don't steal nothing. That is, that he don't set a cub. There are four cards of every kind in the deck. And when the card like the card you have selected falls, you lose. Sometimes if you don't watch the dealer he'll put three cards just like his own down at the bottom of the deck so that everybody falls before he does and then he wins all the money.	Transcription	Zora Neale Hurston
581.792355	581.792355	Well, what does he do? Is the dealer holding the deck of cards?	Transcription	Herbert Halpert
584.969008	584.969008	And he puts it on the table. They don't allow him to hold it because they're afraid he'll steal.	Transcription	Zora Neale Hurston
588.30062	588.30062	Alright.	Transcription	Herbert Halpert
588.920455	588.920455	So they, he puts it on the table and he turns over a card.	Transcription	Zora Neale Hurston
592.019628	592.019628	He just turns over . . .	Transcription	Herbert Halpert
593.259298	593.259298	Card by card and if the card is just like yours, when it falls, you lose. And, uh, so they holler when he gets all set, when the principles has got their cards and the pikers has got theirs and then the man will say he wants them to put the bets down and he'll say 'Put the money on the wood, and make the bet go good and then again, put it insight and save a fight' and so they all get the bets down and then he start and they'll holler, 'Let the deal go down, boys, let the deal go down'.  And someone will start singing.	Transcription	Zora Neale Hurston
625.442772	769.369835	Zora Neale Hurston sings 'Let the Deal Go Down'	Notes	Zora Neale Hurston
775.448699	777.272727	3138 A1 and 2	Notes	Library of Congress
778.12439	819.731405	Uncle Bud is not a work song. It's a sort of social song for amusement and it's so widely distributed, it's growing all the time by incremental repetition, and it is known all over the South. No matter where you go you can find verses of Uncle Bud. And, uh, it's a favorite song. And the men get to working in every kind of work and they just yell down on Uncle Bud and nobody particular leads it. Everybody puts in his verse when he gets ready and Uncle Bud goes and goes and goes.	Transcription	Zora Neale Hurston
808.57438	813.997934	What, is it sung before the respectable ladies?	Transcription	Herbert Halpert
813.997934	819.731405	Never! It's one of those jook songs and the woman that they sing Uncle Bud in front of is a jook woman.	Transcription	Zora Neale Hurston
821.43595	823.450413	I thought you heard it from women?	Transcription	Herbert Halpert
823.450413	825.271178	Yes, I heard it from women [laughs].	Transcription	Zora Neale Hurston
825.774793	826.510847	Go ahead.	Transcription	Herbert Halpert
826.549587	953.770661	Zora Neale Hurston sings 'Uncle Bud'	Notes	Zora Neale Hurston
954.855372	956.133781	Is there more to it?	Transcription	Herbert Halpert
958.070764	961.518595	I know I know some more verses but right off I don't recall.	Transcription	Zora Neale Hurston
965.41894	967.93122	I think that's a very valuable contribution to scientific recording.	Transcription	Herbert Halpert
972.133264	972.133264	Alright.	Transcription	Herbert Halpert
972.985537	983.057851	Oh the Buford Boat Done Come' is a song from the Geechee country in South Carolina but I heard it down in Florida from a Geechee that moved down in Florida. I forget her name right now.	Transcription	Zora Neale Hurston
983.21281	983.832645	Well, what type of song is it?	Transcription	Herbert Halpert
984.142562	984.142562	It's a little dance song with a Charleston rhythm.	Transcription	Zora Neale Hurston
989.333678	1036.596074	Zora Neale Hurston sings 'Oh the Buford Boat Done Come'	Notes	Zora Neale Hurston
1018.676758	1022.460938	How do they play it? Would you tell us very quickly?	Transcription	Herbert Halpert
1022.456095	1026.407541	Uh, it's just a dance song and then they dance a Charleston rhythm on it.	Transcription	Zora Neale Hurston
1026.872417	1028.654442	Was it, is it solo dancing?	Transcription	Herbert Halpert
1028.654442	1029.545455	No, group dancing.	Transcription	Zora Neale Hurston
1029.739153	1031.327479	Well, what kind of group is it?	Transcription	Herbert Halpert
1031.482438	1034.930269	Oh, just any group, any working group, and they'll clap their hands on it and sing.	Transcription	Zora Neale Hurston
1040.093352	1042.290806	3138 B1 and 2	Notes	Library of Congress
1043.06929	1049.806302	I'm a sing a blues, 'Cuz Ever Been Down', and I got it at Palm Beach from a fellow named from Johnny Bardon.	Transcription	Zora Neale Hurston
1050.852273	1052.518079	Where did you get it	Transcription	Herbert Halpert
1053.021694	1055.84969	I got it in 1933.	Transcription	Zora Neale Hurston
1056.856921	1061.583161	Can you tell me, do you know how old a Blues it is? And how you happened to learn it?	Transcription	Herbert Halpert
1061.583161	1074.251033	Well, it's one of those things just go around all the jooks and what not like that and it goes by incremental repetition, a verse here and a verse there. I don't suppose anybody knows how old it is and when it started.	Transcription	Zora Neale Hurston
1077.427686	1188.378099	Zora Neale Hurston sings 'Cuz Ever Been Down'	Notes	Zora Neale Hurston
1189.000852	1194.421488	I heard 'Halimuhfack' down on the East Coast.	Transcription	Zora Neale Hurston
1195.738636	1196.745868	Who did you hear it from and when?	Transcription	Herbert Halpert
1197.288223	1197.288223	I don't remember. I was in a big crowd and I learned it in the evening during the crowd. And I'm just, don't can't exactly remember who I, who did teach it to me but I learned it from the crowd most exactly more from one.	Transcription	Zora Neale Hurston
1210.692149	1269.034091	Zora Neale Hurston sings 'Halimuhfack'	Notes	Zora Neale Hurston
1272.055785	1275.817871	You said you learned it in a crowd. How do you learn most of your songs?	Transcription	Herbert Halpert
1276.062012	1303.710938	I learn them. I just get in the crowd with the people if they singing and I listen as best I can and I start to joining in with a phrase or two and then finally I get so I can sing a verse and then I keep on until I learn all the songs, all the verses, and then I sing them back to the people until they tell me that I can sing them just like them and then I take part and I try it out on different people who already know the song until they are quite satisfied that I know it and then I carry it in my memory.	Transcription	Zora Neale Hurston
1303.710938	1307.617188	Well how about those that you have in your books and publish in the journals?	Transcription	Herbert Halpert
1307.312012	1313.842773	Well, that's the same way I got them. I learn the song myself and then I can take it with me wherever I go because I -- [cut off]	Transcription	Zora Neale Hurston
1316.650391	1320.556641	3139 A1 and 2	Notes	Library of Congress
1326.23291	1326.23291	This is a song, uh, called 'Tampa'. I've known it ever since I could remember so I don't know who taught it to me but I heard it sung in my native village when I was a child, not in front of the old folks, of course.	Transcription	Zora Neale Hurston
1339.630127	1386.802686	Zora Neale Hurston sings 'Tampa'	Notes	Zora Neale Hurston
1388.429752	1390.98657	You say that was uh. . . when was that sung?	Transcription	Herbert Halpert
1391.357422	1391.357422	I've known it all my life. No, it was not confined to children. Everybody sung and danced on it. And you hear a Negro orchestra, a local orchestra, they often played it now, played the tune. They don't sing the words but the tune is one of their favorite dance tunes.	Transcription	Zora Neale Hurston
1406.172521	1406.172521	Alright.	Transcription	Herbert Halpert
1407.838326	1427.479339	This one. Some of them call it 'Po Boy' and some of them call it 'Po Gal' but it's a pretty well-distributed blues tune all over the South. The words are not rhymed. It's a typical Negro pattern. The same line repeated three times with a sort of flip line on the end and the change is in the tune rather than the words for the most part.	Transcription	Zora Neale Hurston
1428.680269	1430.501033	Where did you pick up the way you sing it?	Transcription	Herbert Halpert
1431.547004	1436.621901	I'm - no, not all my life but I kept learning verses as I've gone around.	Transcription	Zora Neale Hurston
1438.171488	1583.057851	Zora Neale Hurston sings 'Po Boy'	Notes	Zora Neale Hurston
1585.304752	1588.171488	3139 B1 and 2	Notes	Library of Congress
1593.052686	1594.757231	Just play it for me in ballad.	Transcription	Herbert Halpert
1595.067923	1621.487603	Mama Don't Want No Peas No Rice' is a song from Nassau in the Bahama islands. They are great song makers and their tunes are decidedly more African than the ones made by the negroes in America. They make songs so rapidly they say 'Anything you do we put you in sing'. And in a few hours they have a song about it. Mama don't want no peas no rice is about a woman who wanted to stay drunk all the time and her husband is really complaining about it. He's explaining to the neighbors what's the matter with his wife and why they don't get along better.	Transcription	Zora Neale Hurston
1623.424587	1728.719008	Zora Neale Hurston sings 'Mama Don't Want No Peas No Rice'	Notes	Zora Neale Hurston
1729.165311	1731.740702	3140a 1 and 2	Notes	Library of Congress
1738.028537	29:05:00	Evelyn Werner, 32.	Transcription	Evelyn Werner
1838.623047	1844.055176	Dr. Corse would you please explain why we asked to have this record made?	Transcription	Herbert Halpert
1844.055176	1863.15918	This record was made for the purpose of recording the annunciation of an educated Southern white voice. And the story was one which was recorded by the Federal Writers as part of their work for the American guide series volume that's Florida.	Transcription	Carita Doggett Corse
1865.29541	1867.919922	Educated white woman.	Transcription	Unknown
1873.168945	1874.328613	Dr. Corse will you please introduce the speaker?	Transcription	Herbert Halpert
1875.427246	1890.930176	This is Mrs. Rolla Southworth, State Director of the Professional Service Projects of the WPA in Florida who will give us her opinion of the recording program of the folk songs in Florida.	Transcription	Carita Doggett Corse
1891.662598	1934.039256	Rolla Southworth: Well, Dr. Corse it would really seem that we have finally grown up as a nation when we can spend the day recording such folklore as we have heard today. And this is only the beginning and in only one city. Think of the endless material alone throughout Florida. Now although we are in the deep South, our state, with Mr. Call, has a very cosmopolitan group. As a matter of fact, the flags of five nations have flown over Florida. Isn't that a fact? And what a wealth of material that will indicate. Personally, my greatest interest is in the Negro Folklore and how justly proud we all are of Zora Hurston whose fine literary ability and wealth of experience has made our recordings possible today.	Transcription	Rolla Southworth
1934.082031	1935.302734	Thank you, Ms. Southworth.	Transcription	Carita Doggett Corse
1939.758301	1941.709711	3140 B1 and 2	Notes	Library of Congress
1948.364258	1957.458496	My name is H. W. Stuckey. I'm 43 years old. I'm a WPA instructor for the blind.	Transcription	H. W. Stuckey
1960.876465	1964.488636	And, uh, you are also a preacher, aren't you, sir? What congregation?	Transcription	Herbert Halpert
1964.488636	1966.193182	A missionary Baptist	Transcription	H. W. Stuckey
1967.200413	1974.096074	Now, uh, this isn't part of your usual, as a missionary Baptist, does your church approve of singing?	Transcription	Herbert Halpert
1974.018595	1975.490702	No sir, no sir, they do not.	Transcription	H. W. Stuckey
1976.110537	1980.139463	You're going to help us out with these, however?	Transcription	Herbert Halpert
1980.407715	1985.046387	Yes sir, in order to preserve these songs of my childhood days on a farm in South Carolina.	Transcription	H. W. Stuckey
2000.427246	2025.309917	H. W. Stuckey sings	Notes	H. W. Stuckey
2025.387397	2029.416322	Let me interrupt you here. Now that, that, what would you call that?	Transcription	Herbert Halpert
2029.338843	2051.497934	It's a farm song, made up between the boys plowing on two or more plantations; one would holler 'Hallo' and the other would answer with a second 'Hallo'. That would be a signal for knocking off time for noon, for dinner.	Transcription	H. W. Stuckey
2051.497934	2056.68905	Suppose you give the effect of actually being out on the farm?	Transcription	Herbert Halpert
2057.678223	2096.126033	H. W. Stuckey sings	Notes	H. W. Stuckey
2100.503616	2102.246901	About the fish vendor?	Transcription	H. W. Stuckey
2102.925898	2102.925898	No, no there's another one without words.	Transcription	Herbert Halpert
2127.01416	2148.114669	H. W. Stuckey sings	Notes	H. W. Stuckey
2151.489258	2153.615702	Where would the two of them be?	Transcription	Herbert Halpert
2154.196798	2172.172004	Well, it'd be in the afternoon and they usually had one big plantation a well where the boys from the different fields would water their stock. And they would be unhooking from the plowers, the planters, and distributers, and going to water their mules and put them in the lot for the night when they start these hollers.	Transcription	H. W. Stuckey
2174.987793	2176.177979	Would they be near each other? Or? Or?	Transcription	Herbert Halpert
2176.422119	2179.168701	Possibly sometimes a quarter mile or a half a mile away	Transcription	H. W. Stuckey
2179.534912	2183.227539	Would you do it again? Was it the same effect between a quarter mile [inaudible] do a quarter mile.	Transcription	Herbert Halpert
2185.180664	2185.180664	H. W. Stuckey sings	Notes	H. W. Stuckey
2210.876465	2213.07373	31,41, A1 and 2	Notes	Library of Congress
2210.876465	2213.197314	3141 A1 and 2	Notes	Library of Congress
2215.715393	2218.38843	Shall I make an explanation of this? Yes sir.	Transcription	H. W. Stuckey
2220.703125	2243.286133	during my early childhood days in Lee County, SC, my brother-in-law used to carry me about with him at night to these old fashioned dances and he called sets. They would also send for him for 10 or 15 miles around to come and call sets. And one of the songs that I remember well is like this.	Transcription	H. W. Stuckey
2244.506836	2280.371901	H. W. Stuckey sings	Notes	H. W. Stuckey
2280.991736	2282.77376	Are there more verses to that?	Transcription	Herbert Halpert
2282.958984	2284.790039	No that's all I remember.	Transcription	H. W. Stuckey
2290.283203	2325.542355	H. W. Stuckey sings	Notes	H. W. Stuckey
2326.049805	2346.384298	Now, Those last directions, were they taught, is that what he called out for them to do?	Transcription	Herbert Halpert
2346.384298	2346.384298	Well, old fashioned slow dancing is all I knew, they called it.	Transcription	H. W. Stuckey
2356.201172	2373.291016	There was an old gentleman when I was a little boy in Sumter, South Carolina, who used to go around the streets selling fish. And this was the song that he would sing in the morning as he came down Manning Avenue where I lived and other streets throughout the city and could be heard for quite a distance, several blocks, singing.	Transcription	H. W. Stuckey
2374.267578	2398.527893	H. W. Stuckey sings	Notes	H. W. Stuckey
2400.146484	2402.099609	Is that you as a kid? You learned it as a boy?	Transcription	Herbert Halpert
2402.099609	2402.099609	Yes, sir, I wrote, 9 or 10 years old.	Transcription	H. W. Stuckey
2411.010742	2433.238636	H. W. Stuckey sings	Notes	H. W. Stuckey
2440.917969	2440.917969	3141 B1, 2, and 3	Notes	Library of Congress
2447.44873	2466.796875	During my early boyhood days I had to nurse my sister's children. I wasn't, being my sight being affected I would not work on the farm and they made me nurse the children. These are some of the songs I liked to sing with the babies in my arms in the, under the tree shade or sometimes on the porch.	Transcription	H. W. Stuckey
2468.261719	2518.078512	H. W. Stuckey sings	Notes	H. W. Stuckey
2529.541016	2530.862603	Irene Jackson	Transcription	Irene Jackson
2531.25	2532.257231	How old are you?	Transcription	Herbert Halpert
2532.257231	2534.271694	I'll be 40 my next birthday.	Transcription	Irene Jackson
2535.666322	2536.596074	And where were you brought up?	Transcription	Herbert Halpert
2537.13843	2538.610537	In South Jacksonville, FL.	Transcription	Irene Jackson
2539.540289	2541.709711	And what is it, tell us about what you are going to sing?	Transcription	Herbert Halpert
2543.104339	2543.104339	It's just a play we used to have when we were children and we would be playing church and then rather than sing church songs, we'd make up our songs and we called it our 'play church'.	Transcription	Irene Jackson
2560.459711	2564.488636	When you were small did you play it with a guitar.	Transcription	Herbert Halpert
2563.248967	2565.030992	No, I was just playing with it since then.	Transcription	Irene Jackson
2565.340909	2565.340909	You're playing it with a guitar since then. Why are you singing it with a guitar? Can you sing it without?	Transcription	Herbert Halpert
2570.067149	2570.067149	Yes, I could.	Transcription	Irene Jackson
2571.306818	2571.306818	Well, would you try it without?	Transcription	Herbert Halpert
2573.321281	2573.321281	Yes.	Transcription	Irene Jackson
2574.018595	2574.018595	Try it without.	Transcription	Herbert Halpert
2574.715909	2574.715909	[Bang] Oh my god.	Transcription	Irene Jackson
2576.497934	2579.442149	That's alright. Don't worry about it. Go ahead.	Transcription	Herbert Halpert
2579.589844	2635.769628	Irene Jackson sings	Notes	Irene Jackson
2639.648438	2643.676758	And that's one you used to, you used to play games to that?	Transcription	Herbert Halpert
2651.730372	2651.730372	Explain about that.	Transcription	Herbert Halpert
2653.709122	2664.519305	Well, we would be having service and it was time for our preacher to preach though. He couldn't preach out the bible so we'd just take a word and add on and go to preaching. We'd be out in the yard.	Transcription	Irene Jackson
2664.524148	2667.768595	Well, where was this? Where would you be? You wouldn't be doing it in the church.	Transcription	Herbert Halpert
2667.768595	2668.301265	No, we'd be out in the yard.	Transcription	Irene Jackson
2668.969525	2669.318182	Just playing.	Transcription	Herbert Halpert
2669.318182	2669.51188	Clean.	Transcription	Irene Jackson
2669.860537	2669.860537	Uh-huh	Transcription	Herbert Halpert
2673.828125	2702.556818	Irene Jackson sings	Notes	Irene Jackson
2706.377835	2710.614669	3142 A1, 2, and 3	Notes	Library of Congress
2711.791992	2718.383789	The closing part of children's sermon that we used to have.	Transcription	Irene Jackson
2718.383789	2757.334711	Irene Jackson chants	Notes	Irene Jackson
2761.474609	2764.772727	Alabama Singleton. I am 33-years-old.	Transcription	Alabama Singleton
2765.005165	2766.283574	And where were you brought up?	Transcription	Herbert Halpert
2766.438533	2766.438533	Savannah, GA	Transcription	Alabama Singleton
2768.336777	2771.43595	And, uh, what are you going to [inaudible]	Transcription	Herbert Halpert
2771.900826	2775.619835	A play that we used to play when we were children in Savannah.	Transcription	Alabama Singleton
2777.014463	2778.873967	And what was it called?	Transcription	Herbert Halpert
2779.493802	2782.438017	A ring play, just a ring play, a children's ring play	Transcription	Alabama Singleton
2783.21281	2784.762397	Alright. Sing.	Transcription	Herbert Halpert
